building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
ドルチェ新宿,マンション,東京都新宿区新宿７丁目,8階建て, 都営大江戸線 東新宿駅/徒歩3分ＪＲ山手線 新大久保駅/徒歩9分都営大江戸線 若松河田駅/徒歩11分,築27年,鉄筋コンクリート,4階,7.2万円,"6,000円",1ヶ月,1ヶ月,1K,18.45m²
フォレスタ御苑前,マンション,東京都新宿区大京町,10階建て, ＪＲ総武線 千駄ケ谷駅/徒歩8分東京メトロ丸ノ内線 新宿御苑前駅/徒歩10分都営大江戸線 国立競技場駅/徒歩8分,築28年,鉄骨鉄筋コンクリート,8階,8.1万円,"5,000円",1ヶ月,1ヶ月,1R,16m²
東京都新宿区西新宿５丁目,マンション,東京都新宿区西新宿５丁目,5階建て, 都営大江戸線 西新宿五丁目駅/徒歩6分東京メトロ丸ノ内線 中野坂上駅/徒歩7分ＪＲ山手線 新宿駅/徒歩18分,築29年,鉄筋コンクリート,1階,9.8万円,"6,000円",1ヶ月,1ヶ月,1DK,28.64m²
パインクレスト信濃町,マンション,東京都新宿区南元町,3階建て, ＪＲ総武線 信濃町駅/徒歩4分ＪＲ総武線 四ツ谷駅/徒歩12分東京メトロ丸ノ内線 四谷三丁目駅/徒歩10分,築31年,鉄筋コンクリート,2階,15.5万円,－,1ヶ月,1ヶ月,2DK,43.81m²
ウッディ信濃町,マンション,東京都新宿区南元町,5階建て, ＪＲ総武線 信濃町駅/徒歩7分都営大江戸線 国立競技場駅/徒歩12分ＪＲ総武線 四ツ谷駅/徒歩14分,築32年,鉄骨造,2階,6.5万円,"3,000円",1ヶ月,1ヶ月,1K,18.6m²
アーバングレイス,マンション,東京都新宿区原町１丁目,3階建て, 都営大江戸線 牛込柳町駅/徒歩2分東京メトロ東西線 早稲田駅/徒歩11分都営大江戸線 若松河田駅/徒歩11分,築32年,鉄筋コンクリート,1階,12.5万円,"4,000円",1ヶ月,－,2DK,40m²
メゾンブランシュ,マンション,東京都新宿区大久保１丁目,4階建て, ＪＲ山手線 新大久保駅/徒歩3分ＪＲ総武線 大久保駅/徒歩7分都営大江戸線 東新宿駅/徒歩8分,築34年,鉄筋コンクリート,1階,7万円,"4,000円",－,－,1R,18.9m²
ユニヴェールビル,マンション,東京都新宿区四谷４丁目,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分都営新宿線 曙橋駅/徒歩11分,築35年,鉄骨鉄筋コンクリート,2階,7万円,－,1ヶ月,1ヶ月,1R,17.23m²
ハイツオーロラ,マンション,東京都新宿区愛住町,3階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩2分都営新宿線 曙橋駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築35年,鉄骨造,3階,7万円,－,1ヶ月,－,1R,13.5m²
東京都新宿区新宿１丁目,マンション,東京都新宿区新宿１丁目,11階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 新宿三丁目駅/徒歩9分東京メトロ丸ノ内線 四谷三丁目駅/徒歩9分,築38年,鉄骨鉄筋コンクリート,5階,8.1万円,"6,000円",1ヶ月,1ヶ月,1R,25.25m²
